bins,kingdom,phylum,class,order,family,genus,species,glycolysis,gluconeogenesis,TCA Cycle,NAD(P)H-quinone oxidoreductase,NADH-quinone oxidoreductase,F-type ATPase,V-type ATPase,Cytochrome c oxidase,Ubiquinol-cytochrome c reductase,Cytochrome o ubiquinol oxidase,Cytochrome aa3-600 menaquinol oxidase,"Cytochrome c oxidase, cbb3-type",Cytochrome bd complex,RuBisCo,CBB Cycle,rTCA Cycle,Wood-Ljungdahl,3-Hydroxypropionate Bicycle,4-Hydroxybutyrate/3-hydroxypropionate,pectinesterase,diacetylchitobiose deacetylase,glucoamylase,D-galacturonate epimerase,exo-poly-alpha-galacturonosidase,oligogalacturonide lyase,cellulase,exopolygalacturonase,chitinase,basic endochitinase B,bifunctional chitinase/lysozyme,beta-N-acetylhexosaminidase,D-galacturonate isomerase,alpha-amylase,beta-glucosidase,pullulanase,ammonia oxidation (amo/pmmo),hydroxylamine oxidation,nitrite oxidation,dissim nitrate reduction,DNRA,nitrite reduction,nitric oxide reduction,nitrous-oxide reduction,nitrogen fixation,hydrazine dehydrogenase,hydrazine synthase,dissimilatory sulfate < > APS,dissimilatory sulfite < > APS,dissimilatory sulfite < > sulfide,thiosulfate oxidation,alt thiosulfate oxidation tsdA,alt thiosulfate oxidation doxAD,sulfur reductase sreABC,thiosulfate/polysulfide reductase,sulfhydrogenase,sulfur disproportionation,sulfur dioxygenase,sulfite dehydrogenase,sulfite dehydrogenase (quinone),sulfide oxidation,sulfur assimilation,DMSP demethylation,DMS dehydrogenase,DMSO reductase,NiFe hydrogenase,ferredoxin hydrogenase,membrane-bound hydrogenase,hydrogen:quinone oxidoreductase,NAD-reducing hydrogenase,NADP-reducing hydrogenase,NiFe hydrogenase Hyd-1,thiamin biosynthesis,riboflavin biosynthesis,cobalamin biosynthesis,transporter: vitamin B12,transporter: thiamin,transporter: urea,transporter: phosphonate,transporter: phosphate,Flagellum,Chemotaxis,Methanogenesis via methanol,Methanogenesis via acetate,"Methanogenesis via dimethylsulfide, methanethiol, methylpropanoate",Methanogenesis via methylamine,Methanogenesis via trimethylamine,Methanogenesis via dimethylamine,Methanogenesis via CO2,Coenzyme B/Coenzyme M regeneration,Coenzyme M reduction to methane,Soluble methane monooxygenase,methanol dehydrogenase,alcohol oxidase,dimethylamine/trimethylamine dehydrogenase,Photosystem II,Photosystem I,Cytochrome b6/f complex,anoxygenic type-II reaction center,anoxygenic type-I reaction center,Retinal biosynthesis,Entner-Doudoroff Pathway,Mixed acid: Lactate,Mixed acid: Formate,Mixed acid: Formate to CO2 & H2,Mixed acid: Acetate,"Mixed acid: Ethanol, Acetate to Acetylaldehyde","Mixed acid: Ethanol, Acetyl-CoA to Acetylaldehyde (reversible)","Mixed acid: Ethanol, Acetylaldehyde to Ethanol","Mixed acid: PEP to Succinate via OAA, malate & fumarate",Naphthalene degradation to salicylate,Biofilm PGA Synthesis protein,Colanic acid and Biofilm transcriptional regulator,Biofilm regulator BssS,Colanic acid and Biofilm protein A,Curli fimbriae biosynthesis,Adhesion,Competence-related core components,Competence-related related components,Competence factors,Glyoxylate shunt,Anaplerotic genes,Sulfolipid biosynthesis,C-P lyase cleavage PhnJ,CP-lyase complex,CP-lyase operon,Type I Secretion,Type III Secretion,Type II Secretion,Type IV Secretion,Type VI Secretion,Sec-SRP,Twin Arginine Targeting,Type Vabc Secretion,Serine pathway/formaldehyde assimilation,Arsenic reduction
bin_49,Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,Acidithiobacillus,,0.67,0.78,0.5,0,0.98,1,0,0,0.5,0.75,0,0,1,1,1,0,0,0.12,0.1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.99,0,0,1,0,0,0.48,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.99,0.55,1,0,0,0,0,0.33,1,0.87,0.75,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0.14,0,0,0,0.5,0,0,0,0.09,0.33,0,0,0,0,0.913,0.75,0,0.3,0.75
bin_309,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,0.78,0,0.88,0,0.98,1,0,1,0,0,0,0.75,0,0,0,0,0,0.24,0.3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.66,0.45,1,0.12,0,0,0,0.33,1,0.09,0.75,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0.3955,0,0,0,0,0,0,0,0.14,0,0,1,1,0,0,0,0,0,0.0666,0.6152,0,0,0.747,0.75,0,0.6,0.25
bin_36,Bacteria,Myxococcota,Myxococcia,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter,,0.78,0,0.88,0,0.98,1,0.11,1,0,0,0,0.5,1,0,0,0,0.17,0.06,0.2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0.66,0.45,0.75,0,0,0,0,0.33,1,0.04,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.501,0.5,1,0,0,0.3955,0,0,0,0,0,0,0,0.07,0,0,0,0.75,0,0,0,0,0,0,0.4614,0,0,0.498,0.5,0,0.4,0.5
bin_132,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,0.56,0.67,0.75,0,0.14,0.375,0,0.75,0.5,0,0,0.25,1,1,1,0,0,0.18,0.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.99,0.64,1,0.75,0,0,1,0.99,1,0.96,0.75,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,1,1,0,0.458,0,0,0,0,0,0,0,0.14,0,0,1,0.75,0,0,0,0,0.33,0,0.769,0,0.111,0,0.75,0,0.4,1
bin_358,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,0.67,0.78,0.88,0,0.98,1,0,0.75,0.5,0,0,0.75,1,0,0,0,0,0.18,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.64,1,0.62,0,0,1,0.33,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,1,0,0,0.3955,0,0,0,0,0,0,0,0.07,0,0,1,0.5,0,0,0,0,0.33,0,0.8459,0,0.555,0.913,0.75,0,0.3,1
bin_395,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,0.67,0,0.75,0,0.98,1,0,0,0.5,0,0,0.75,0,0,0,0,0,0.18,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.66,0.45,0.75,0.25,0,0,1,0.33,1,0.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.75,0,0,0,0,0,0,0,0.28,0,0,0,0.5,0,0,0,0,0,0,0.3076,0,0.333,0.747,0.75,0,0.4,1
bin_25,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,AZ1,,0.44,0,0.75,0,0.56,0,0.55,0.5,0,0,0,0,0,0,0,0,0.17,0.24,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.66,0.27,0.75,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.167,0.5,0,0,0,0.1455,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0
bin_316,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea,,0.67,0,0.62,0.07,0.98,0.875,0,0.75,0,0,0,0.25,1,0,0,0,0,0.06,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.5,0.12,0,0.66,0,0,1,0.7,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0.5,1,0,0.167,0,0,1,0,0.25,0,0,0,0,0,0,0,0.21,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.581,0.5,0,0.3,0
bin_286,Bacteria,Desulfobacterota,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,,0.56,0,0.5,0,0.77,1,0,0,0,0,0,0,1,0,0,0,0.83,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0.99,0.45,1,0.75,0,0,0,0.33,1,0.87,0.75,0,0.33,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.167,0.5,0,0,0,0.208,0,0,0,0,0,0,0,0.21,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.72,0.75,0,0.4,1
bin_332,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Caldimonas,,0.67,0.78,0.88,0,0.98,1,0,0.75,0.5,0,0,1,1,0,0,0,0,0.29,0.2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,1,1,0,0,1,0,1,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.501,0,1,0,0,0.458,0,0,0,0,0,0,0,0.14,0,0,1,0.75,0,0,0,0,0.33,0,0.769,0,0.555,0.913,0.75,0,0.6,0.75
bin_80,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2~30~66~27,,0.78,0,0.88,0,0.98,0.875,0.66,1,0,0,0,0.75,0,0,0,0,0.5,0.18,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.66,0.64,1,0.12,0,0,0,0.33,1,0.87,0.75,0,0.66,0,0,0,0,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.501,0.5,0,0,0,0.458,0,0,0,0,0,0,0,0.14,0,0,0,0.75,0,0,0,0,0,0,0.5383,0,0.555,0.83,0.5,0,0.4,1
bin_185,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2~30~66~27,,0.78,0,0.88,0,0.91,0.625,0,1,0,0,0,0.75,0,0,0,0,0.5,0.18,0.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,1,0.12,0,0,0,0.33,1,0.74,0.62,0,0.33,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0.501,0.5,0,0,0,0.458,0,0,0,0,0,0,0,0.14,0,0,0,0.5,0,0,0,0,0,0,0.5383,0,0.333,0.581,0.5,0,0.4,0.75
bin_364,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2~30~66~27,,0.67,0,0.75,0,0.98,0.875,0,1,0,0,0,0.25,1,0,0,0,0.67,0.12,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,1,0.12,0,0,0,0,1,0.04,0.38,0,0.66,0,0,0,0,0.05,0.6,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0,0,0.5,0,0,0,0.458,0,0,0,0,0,0,0,0.21,0,0,0,0.25,0,0,0,0,0,0,0.4614,0,0,0.747,0.5,0,0.4,0.75
