bin.taxa.name,bins,completeness,contamination,GC,N50,size,kingdom,phylum,class,order,family,genus,species,DCO_LLO_Bv4v5..MTF_MT170219,DCO_LLO_Bv4v5..BRF1_BR170218_1,DCO_LLO_Bv4v5..RSF_RS170216,DCO_LLO_Bv4v5..SIS_SI170217,DCO_LLO_Bv4v5..QHF2_QH170212_2,DCO_LLO_Bv4v5..CYF_CY170214,DCO_LLO_Bv4v5..SLF_SL170214,DCO_LLO_Bv4v5..BRS2_BR170218_2,DCO_LLO_Bv4v5..CYS_CY170214,DCO_LLO_Bv4v5..RVF_RV170221,DCO_LLO_Bv4v5..RSS_RS170216,DCO_LLO_Bv4v5..TCF_TC170221,DCO_LLO_Bv4v5..QNF_QN170220,DCO_LLO_Bv4v5..EPS_EP170215,DCO_LLO_Bv4v5..EPF_EP170215,DCO_LLO_Bv4v5..SLS_SL170214_S,DCO_LLO_Bv4v5..QNS_QN170220,DCO_LLO_Bv4v5..BRF2_BR170218_2,DCO_LLO_Bv4v5..TCS_TC170221_2,DCO_LLO_Bv4v5..FAS_FA170219,DCO_LLO_Bv4v5..BQS_BQ170220,DCO_LLO_Bv4v5..ETS_ET170220,DCO_LLO_Bv4v5..QHS2_QH170213_2,DCO_LLO_Bv4v5..SIF_SI170217,DCO_LLO_Bv4v5..BQF_BQ170220,DCO_LLO_Bv4v5..BRS1_BR170218_1,DCO_LLO_Bv4v5..ESF9_ES_F9
"bin_326, Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas",bin_326,99.47,0.693,0.665,158205,3508867,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,1.156131391,0.556109485,1.080383109,0.242636634,0,0.309587369,0.919421203,0.057746795,1.867019756,78.56934223,0.596496518,1.238303211,2.380492273,0.25666228,0.184009733,0,0.588379805,0.83680845,0.06526156,0.032230159,0.037367193,0.291389086,0.070489695,1.016805312,0.038558344,0,1.944258432
"bin_362, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, CG2~30~32~10",bin_362,99.46,0.537,0.42,54136,4207784,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,CG2~30~32~10,,,0,0,5.127672935,0.926823477,0,0,0.030362147,0,0.034769914,0,41.81194756,0,0.054153846,1.909721358,0.11450072,0,0,0,0,0,0,0,0,0.12816474,0,0,0.223617352
"bin_57, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium",bin_57,99.44,0,0.338,97817,3133527,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,,1.575171774,0,0,0,0.961946125,0,0.034130645,0.079192161,0.10475249,0,0,0.379319249,0,0,0,0,0,0,0.359858782,0.249824724,0,0,11.98088581,0,0,0,0
"bin_179, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae, Ignavibacterium",bin_179,99.44,0,0.338,34471,3331264,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,,2.080735362,0,0.047477374,0,3.077540223,0.033390057,0.087371111,0.030098315,0.173062788,0.042403905,0,0.509832039,0,0,0,0.037854391,0.074592051,0.062646928,0.403747583,0.285459791,0,0,42.78150223,0,0,0,0
"bin_358, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Aquabacterium",bin_358,99.26,0.112,0.636,164054,3422146,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Aquabacterium,,9.783238205,0.197279077,0.258561113,0.100996562,0,0.079697276,0.446642091,0.03052406,0.415043965,1.209870367,0.102389542,1.193358684,1.851068428,0.080905166,0.190731619,0,0.340382367,197.0759318,0.144365782,0,0,0.116968901,0,1.735616762,0,0,2.3485491
"bin_224, Bacteria, Deinococcota, Deinococci, Deinococcales, Thermaceae, Thermus",bin_224,99.15,0.847,0.675,29613,2203486,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Thermus,,31.1128059,0.552868359,0.095444772,0.034096814,0,263.8221143,25.93353177,0,1.834586559,0.053550637,0.060624827,2.286653459,0.052474603,0.04805001,0.041978639,2.55752589,0,0.062016581,1.3767492,0.68320044,0,0.06762004,0,0,0,0.400230456,0.055694913
"bin_355, Bacteria, UBP7, 4484~113, 4484~113, 4484~113",bin_355,99.13,0,0.436,147083,1989113,Bacteria,UBP7,4484~113,4484~113,4484~113,,,0.033273559,0.053873946,0.043841457,0,0,0,0,16.10357796,0,0,0,0,0,0,0,0.040528492,0,2.284320453,0,0.113795135,0,0,0,0,0,0.045953396,0
"bin_150, Bacteria, Chloroflexota, Anaerolineae, Anaerolineales, envOPS12",bin_150,99.09,4.545,0.592,105423,3660733,Bacteria,Chloroflexota,Anaerolineae,Anaerolineales,envOPS12,,,0,0,2.81511864,3.332245389,0,0,0.06166573,0,0.095713483,0,0.876308747,0.059911961,0.047533244,34.25037319,7.988317947,0,0.040813893,0,0,0,0.08487749,0.088799205,0.03220573,0.10453271,0,0,0.829455607
"bin_198, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Hydrogenophilaceae",bin_198,99.05,2.801,0.672,18804,2626891,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,,,0.305653599,0.16025605,0.354882216,0.302511971,0.101762032,0.294919766,1.406238117,0.18507164,1.42414962,0.279057805,0.204855624,1.252582307,0.886470573,0.409974347,0.986639285,0.056548731,0.231343764,0.308671424,0.251342043,0.699069225,0,0.345283434,0.513908143,0.590665491,0,0.043649633,0.84412816
"bin_321, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, UBA213",bin_321,99.02,0,0.392,113098,1349300,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,UBA213,,,0.04577983,0,0,0,0,3.299033379,10.16077155,0,0.126742247,0,0,0.041162088,0,0,0,6.94181814,0,0,0.035117337,59.33881758,0,0,0,0,0,0,0
"bin_17, Archaea, Crenarchaeota, Nitrososphaeria, Nitrososphaerales, UBA213",bin_17,99.02,0,0.391,51005,1485456,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,UBA213,,,0.332338114,0,0,0,0,113.3947662,1.11186022,0,2.815894439,0.045765106,0,2.747418019,0,0,0,0.96047157,0,0.046301402,3.142212692,0.077394634,0,0.091780967,0,0.033844885,0,0,0.133341613
"bin_325, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, RheinheimeraA",bin_325,99.01,0.409,0.527,127278,4005164,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,RheinheimeraA,,0.040371582,65.46618974,0.04590582,0,0,0,0.081769738,0,0.035110016,0,0,0.087290739,0.111415627,0,0,0,0,7.463486087,0,0,0,0,0,0.073711254,0,0,0.124297521
"bin_66, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Marinilabiliaceae",bin_66,98.91,0.543,0.359,24075,3620228,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Marinilabiliaceae,,,0,0,3.686327402,0.040066963,0,0,0,0,0,0,48.29977722,0,0.04647879,6.359114715,0.653153293,0,0,0,0,0,0,0,0,0.190288138,0,0,0.296422105
"bin_361, Bacteria, Gemmatimonadota, Gemmatimonadetes, Gemmatimonadales, GWC2~71~9",bin_361,98.9,1.098,0.687,37471,2815363,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2~71~9,,,0.041580479,0,0.16036393,0.05411678,0,0.246157656,1.120377146,0.216676667,2.763785964,0.536866308,0.087980713,0.329950886,0.149343886,0.057548261,0.044882697,1.259682471,0.060855099,0.033314124,0.036601084,59.91542493,0,0.210263551,0,0,0,0.041417915,0.048333387
"bin_87, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Hydrogenophilaceae, UBA3361",bin_87,98.89,1.494,0.636,91840,2457853,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,UBA3361,,0.113570608,0.07420205,0.181513021,0.12942395,0,0.064404639,0.485360994,0.030932049,0.523638074,1.400341251,0.108329799,0.500964198,0.642021368,0.190678149,0.49386174,0,0.148515532,0.129672704,0.102804172,0.043075736,0,0.143764049,0.037602604,0.334488546,0,0,0.421327473
"bin_318, Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Alteromonadaceae, RheinheimeraA",bin_318,98.89,0.505,0.527,252716,4015163,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Alteromonadaceae,RheinheimeraA,,0.043600185,0.337722685,0.050630279,0,0,0,0.035089587,0,0,0,0,0.083953197,0.105935069,0,0,0,0,100.2133333,0,0,0,0,0,0.167378945,0,0,0.202864867
"bin_283, Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Chitinophagaceae",bin_283,98.85,0.985,0.454,23632,4249246,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,,0.034510035,0,0.031357331,0,0,0,0.057981485,0,0.143903029,0.032953026,0,0.051887069,0.266291835,0,0,0,0.044810296,0,0,0,0,0,0,0.038525006,0,0,0.068237778
"bin_265, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, Rubrivivax",bin_265,98.84,3.636,0.693,49669,4994671,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Rubrivivax,,0.307851725,0.313868068,0.668976241,0.672394309,0,0.348414032,1.855360906,0.079853513,1.51559208,0.383686718,0.490720088,2.21610404,4.837051857,0.368561467,0.757032271,0,1.023791817,0.409620875,0.350419521,0.076748247,4.635994093,0.377709662,0.081470789,1.614662903,0,0,3.018890342
"bin_387, Bacteria, Cyanobacteriota, Cyanobacteriia, Cyanobacteriales, Phormidiaceae",bin_387,98.83,0.436,0.407,43710,5874493,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,,,0.05807197,0,0.033354379,0,0,0.043054392,0.044656498,0,0.115188481,0.244571766,0.041058613,0,0.052342698,0,0,0,0,0,0,0,0.061136214,0,0,0.059353599,0,0,0.114265511
"bin_90, Bacteria, Desulfobacterota, Desulfobacteria, Desulfobacterales, Desulfatirhabdiaceae, RAAP~1",bin_90,98.7,1.29,0.426,46104,2841287,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfatirhabdiaceae,RAAP~1,,0,0,18.14984401,2.509756262,0.105881518,0,0,0,0,0,75.91824286,0,0,12.63899383,4.937458678,0,0,0,0,0,0,0,1.857385699,0.309304855,0,0,0.549983028
"bin_1, Bacteria, Bacteroidota, Ignavibacteria, Ignavibacteriales, Ignavibacteriaceae",bin_1,98.6,0,0.379,44654,3482394,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,,,0.06628445,0,0.088376948,56.25269664,0,0,0.101208401,0,0,0,0.043692559,0.037947854,0.030593375,0.034765173,0.074089781,0,0,0.037198196,0,0,0.052426071,0,0,1.251690832,0,0,3.680655647
"bin_95, Bacteria, Bacteroidota, Bacteroidia, AKYH767, b~1BO",bin_95,98.57,1.428,0.345,162175,2636866,Bacteria,Bacteroidota,Bacteroidia,AKYH767,b~1BO,,,5.39985631,1.273666085,0.031593138,0,0,4.709392672,15.04816506,0.246135831,7.35534955,0,0,0.43517017,0.054422265,0,0.030010476,1.695360351,0,0.217515275,0.252955683,1.268520433,0,0.071194194,0,0.030893662,0,1.058800674,0.052332377
"bin_366, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Salinivirgaceae",bin_366,98.57,1.19,0.416,15745,3474301,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Salinivirgaceae,,,0,0,0.075384177,0,6.943653182,0,0,0,0,0,0.058221114,0,0.045077874,0.04640778,0.079615781,0,0.209560014,0,0,0,0,0,104.0455192,0.048145235,0,0,0.069204945
"bin_205, Bacteria, Proteobacteria, Alphaproteobacteria, Acetobacterales, Acetobacteraceae, 70~18",bin_205,98.5,0.248,0.67,90066,5224988,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,70~18,,0.218715201,0.234395714,0.492563771,0.3552906,0,0.151563458,0.905334434,0.077769291,1.518236509,0.242882625,0.271892174,0.92099646,1.17550048,0.166346297,0.220460806,0,0.263642341,0.193108224,0.102143196,0.034517392,0.137548669,0.415077444,0.036828604,0.549005629,0,0,1.031474759
"bin_46, Bacteria, Planctomycetota, Planctomycetes, Pirellulales, Pirellulaceae, Pirellula",bin_46,98.46,0,0.527,43747,4984380,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,,0.031141259,0,0.053784684,15.2268203,0,0,0.102349002,0,0.082956217,0,0.031597866,0.056148298,0.136927025,0,0,0,0,0.032586245,0,0,0,0,0,2.08059672,0,0,4.314436839
"bin_336, Bacteria, Firmicutes, Bacilli, Exiguobacterales, Exiguobacteraceae, Exiguobacterium, GCF001908175.1",bin_336,98.45,0.22,0.477,275265,2841453,Bacteria,Firmicutes,Bacilli,Exiguobacterales,Exiguobacteraceae,Exiguobacterium,GCF001908175.1,1.033527965,1.439335402,0.090842338,0,0,0.06580089,0.104928148,0,0.047373321,0.742890153,0,0.60938269,0.035650809,0,0,0,0,104.9051269,0.034354329,0,0,0,0,0.27219891,0,0,0.596007509
"bin_395, Bacteria, Campylobacterota, Campylobacteria, Campylobacterales, Arcobacteraceae, Arcobacter",bin_395,98.37,1.508,0.279,14819,2522599,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,,0.082852809,0.592218712,0,0,0,0,0,0,0,0,0,1.126610401,0.113640364,0,0,0,0,33.18301797,0,0,0,0,0,0,0,0,0.031899861
"bin_269, Bacteria, Acidobacteriota, Acidobacteriae, Acidobacteriales, Koribacteraceae",bin_269,98.36,2.564,0.596,148966,5312278,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,,,0.032469511,0,0.090326386,0,0,0,0.206322794,0,0.287927393,0.038112951,0.063321504,0.100827988,0.202311019,0.034784441,0.04208521,0,0.102315367,0,0,0.030193061,5.518638095,0.117111695,0,0,0,0,0.030888771
"bin_80, Bacteria, MBNT15, MBNT15, MBNT15, MBNT15, CG2~30~66~27",bin_80,98.31,0.14,0.653,37715,3057443,Bacteria,MBNT15,MBNT15,MBNT15,MBNT15,CG2~30~66~27,,0.04882457,0,0.148013561,0,0,0,0.324988818,0.064608361,0.198617268,0.498166581,0.145133441,0.137261224,9.156635608,0.062979756,0.042579457,0,50.99867324,0.041760035,0,0.078526426,0,0.13098134,0,0,0,0,0
"bin_156, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae",bin_156,98.29,2.735,0.648,121977,4365484,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,,,0.311146041,0.063602683,0.039976393,0,0,1.479543829,0.628644769,0.096835731,345.0518608,0,0.032096618,1.161780173,0.038679449,0,0,0.569727241,0,0,0.892774262,1.776061042,0,0.08252929,0,0,0,0.363571737,0
"bin_108, Bacteria, Acidobacteriota, Acidobacteriae, Solibacterales, Solibacteraceae",bin_108,98.29,3.589,0.648,95530,4397879,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,,,0.352065504,0.036425579,0.044355797,0,0,1.183364236,11.11652344,0.033964657,47.52861177,0,0,0.241608338,0.043812995,0,0,10.16724904,0,0,0.193988315,72.04314763,0,0.044650297,0,0,0,0.212844289,0
"bin_329, Bacteria, Chloroflexota, Anaerolineae, SBR1031, AB, GCA~2794515",bin_329,98.18,0.101,0.488,53908,4172094,Bacteria,Chloroflexota,Anaerolineae,SBR1031,AB,GCA~2794515,,0,0,0,0,0.890353359,0,0.038115493,0,0.523718487,0,0,0.044789132,0,0,0,0,0,0,0,0,0,0,0.532447329,0.074823699,0,0,0.219048755
"bin_322, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Burkholderiaceae, GJ~E10",bin_322,98.14,0.771,0.687,13953,3580749,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,GJ~E10,,0.234133503,0.541209025,0.450081023,0.560634768,0,0.183175675,3.097824938,33.59311226,2.027723407,0.227529798,0.341382978,2.846874537,1.442216254,0.246521488,0.625730255,0.088491986,0.386659598,2.225537723,0.446845138,1.252695855,0.038015402,0.458443797,0.053084422,0.362673338,0,0.057626296,0.600211719
"bin_195, Bacteria, Bacteroidota, Bacteroidia, Chitinophagales, Saprospiraceae",bin_195,98.01,0.99,0.554,178529,3516621,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,,,0.046656704,0.041893546,0.032219832,0.07798883,0,0,0.095702648,0,0.17481141,0,0,0.08117683,0.068933985,0,0,0.071217738,0,0,0.049294027,0,0,0.035488177,0,0,0,0,0.03373906
"bin_246, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prolixibacteraceae, Draconibacterium",bin_246,97.84,1.612,0.403,38457,4372715,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium,,0,0,7.93586536,0,0,0,0,0,0,0,8.139702752,0,0.050307724,43.65971159,2.350164697,0,0,0.122080633,0,0,0,0,0,0,0,0,0
"bin_104, Bacteria, Bacteroidota, Bacteroidia, Bacteroidales, Prolixibacteraceae, 6E",bin_104,97.84,1.075,0.422,44295,3586269,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,6E,,0,0,0.743981591,14.3274986,0.093208055,0,0,0,0,0,0.828072828,0,0,0.739539255,0.212058442,0,0,0,0,0,0.036832345,0,1.928257435,0.474587948,0,0,0.774650333
"bin_227, Bacteria, Bacteroidota, UBA10030, UBA10030, UBA10030",bin_227,97.81,1.912,0.363,27727,2594867,Bacteria,Bacteroidota,UBA10030,UBA10030,UBA10030,,,0,0,8.954902586,37.8396259,0,0,0,0,0,0,27.00704149,0,0,6.593263044,2.860727589,0,0,0,0,0,0.080514358,0,0.965256067,1.947403982,0,0,1.870681642
"bin_54, Bacteria, Gemmatimonadota, Gemmatimonadetes, Gemmatimonadales, GWC2~71~9",bin_54,97.8,1.098,0.689,91830,2849395,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,GWC2~71~9,,,0.140647062,3.333231695,0.142218969,0.03158601,0,0.033037985,0.268440334,61.68491812,0.571623526,0.472077837,0.074066803,0.21536329,0.155216675,0.060533367,0.045169075,0,0.061060251,4.504984644,0,0.488409223,0,0.248419629,0,0,0,6.429623682,0.040278889
"bin_37, Bacteria, Cloacimonadota, Cloacimonadia, Cloacimonadales, Cloacimonadaceae",bin_37,97.73,0,0.487,51026,2023655,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,,,0,0,4.290882398,18.79934644,0,0,0,0,0,0,1.65999074,0,0.033452813,6.77965116,23.32391395,0,0,0,0,0,0.04491168,0,0,2.302151361,0,0,3.315102331
"bin_167, Bacteria, Bacteroidota",bin_167,97.73,1.098,0.577,25532,3569570,Bacteria,Bacteroidota,,,,,,0,0,0.10102661,0.032795665,0,0,0.196976203,0,0.426052124,0.031145602,0.083689655,0.086529801,0.128689061,0.040012929,0.044264532,0,0.034245753,0,0,0,0,34.5072231,0,0,0,0,0.041266362
"bin_133, Bacteria, KSB1, UBA2214, UBA2214",bin_133,97.73,2.197,0.525,48142,4639955,Bacteria,KSB1,UBA2214,UBA2214,,,,0.034757156,1.275037723,0.107416332,0.030715728,0,0,0.632503558,14.55818076,0.531182888,0.036256289,0.064094604,0.107192575,0.167083568,0.046957609,0.051632558,0.196205212,0.043053873,0.480313364,0,0.057970473,0,0.293210518,0,0,0,0.036602628,0.044921044
"bin_14, Bacteria, Proteobacteria, Gammaproteobacteria, Betaproteobacteriales, Gallionellaceae, Sideroxydans",bin_14,97.64,0.634,0.604,33070,1826770,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Gallionellaceae,Sideroxydans,,0.116295084,0.118428432,0.174852974,0.088517886,0,0.16277112,0.669680672,0.071675474,0.641688732,0.412588085,0.122732447,1.816439747,1.730001381,0.117082233,0.351777467,0,0.63369959,0.287959742,0.237314519,0.068123065,0.033209007,0.184290232,0.031525883,0.206976906,0,0,0.29371652
"bin_241, Bacteria, FirmicutesB, Desulfotomaculia, Desulfotomaculales, BRHcA",bin_241,97.46,0.791,0.555,39185,2440013,Bacteria,FirmicutesB,Desulfotomaculia,Desulfotomaculales,BRHcA,,,0.051724606,0,0.098483873,0,1.994114031,0,0.066757881,0,0.090603308,0,0.052623201,0.060323533,0.067896749,0.038821443,0.052666585,0,0.077063086,0,0,0,0,0.05768631,19.82847065,0.03100751,0,0,0.043588341
"bin_252, Bacteria, Deinococcota, Deinococci, Deinococcales, Thermaceae, Meiothermus",bin_252,97.43,1.282,0.606,92252,3531453,Bacteria,Deinococcota,Deinococci,Deinococcales,Thermaceae,Meiothermus,,1.87868241,0.423599541,0.163774677,16.41207842,0,0.494304935,1.808473325,0,0.226373368,0.197789365,0.06071569,18.21279676,0.082219505,0.13964895,0.208671406,0.135332744,0,0,0.514677402,0.153088238,0.088135198,0.066691712,0.037238502,0.35156648,0,0.119571735,0.85459322
